st_abbrev,fips,population,income,hispanic,asian,black,white,foreign,college,density,vets,female,senior,children,st_cnty,state,winner,votes,fraction_votes,total_votes,voter_turnout
NC,37091,24308,33406,3.8,0.8,59.8,33.9,4.2,15.4,69.9,1718,50.6,17.5,19.8,NC_Hertford,North Carolina,Hillary Clinton,2926,0.675,3887,0.19938429391389062
NC,37093,51611,45489,12.5,1.5,34.3,41.2,5.7,17.2,120.2,4632,50.6,8.4,28.8,NC_Hoke,North Carolina,Hillary Clinton,3528,0.597,5365,0.14599818564938796
NC,37097,166675,50329,7.3,2.4,12.2,76.8,5.7,23.9,277.8,11179,50.8,14.6,23.9,NC_Iredell,North Carolina,Hillary Clinton,5888,0.509,10886,0.08582488089787363
NC,37099,40981,36951,5.1,1.0,2.3,81.4,4.6,27.9,82.1,3137,50.9,17.7,17.1,NC_Jackson,North Carolina,Bernie Sanders,3021,0.57,5043,0.14844032138345087
NC,37101,181423,49711,13.4,0.8,16.0,68.9,7.6,20.4,213.4,12752,50.9,12.3,26.4,NC_Johnston,North Carolina,Hillary Clinton,7992,0.521,14215,0.106457608438027
NC,37103,10076,36213,4.4,0.5,31.1,62.1,4.0,11.1,21.6,1067,51.3,21.7,19.0,NC_Jones,North Carolina,Hillary Clinton,910,0.58,1411,0.1728836153872544
NC,37105,59662,44819,19.5,1.1,20.1,58.3,11.3,20.2,227.0,4728,50.8,15.0,25.3,NC_Lee,North Carolina,Hillary Clinton,3224,0.546,5472,0.12278001416008981
NC,37107,58485,35770,7.5,0.7,41.0,50.1,3.7,14.0,148.5,4369,52.2,17.9,22.9,NC_Lenoir,North Carolina,Hillary Clinton,4731,0.6409999999999999,6678,0.14809743693633906
NC,37109,79829,48940,7.2,0.6,5.8,85.2,5.0,19.4,262.7,5983,50.2,15.9,21.9,NC_Lincoln,North Carolina,Hillary Clinton,2812,0.513,5103,0.08184908814935074
NC,37111,44965,35297,5.5,0.9,4.1,88.4,3.4,13.9,102.1,3620,49.8,18.5,20.7,NC_McDowell,North Carolina,Bernie Sanders,1622,0.49,2975,0.08343325458823304
